Prey Birth , Prey Death , Predator Birth , Predator Death , Pesticide Increase , Pesticide Decrease , Average Prey Population , Average Predator Population , Average Pesticide Population
0 , 1 , 1 , 0 , 1 , 0 , 8.191446228350978 , 57.893186284520446 , 0.5009928412540814
0 , 1 , 1 , 0 , 1 , 1 , 6.723345953919527 , 64.01096418574716 , 0.4101607723916159
0 , 1 , 1 , 1 , 0 , 0 , 8.211526387883366 , 64.00272166135747 , 0.4099951321209627
0 , 1 , 1 , 1 , 0 , 1 , 6.742868607603413 , 70.75960104729205 , 0.3356500342499677
0 , 1 , 1 , 1 , 1 , 0 , 10.008780721850373 , 57.888315492412566 , 0.5007700029615045
0 , 1 , 1 , 1 , 1 , 1 , 8.211192505144288 , 64.00510456850819 , 0.4099784483840054
1 , 0 , 0 , 0 , 0 , 0 , 12.28921628453471 , 78.15850690082007 , 0.6115200826131585
1 , 0 , 0 , 0 , 0 , 1 , 10.093694429703454 , 86.40847955810929 , 0.5006292261967865
1 , 0 , 0 , 0 , 1 , 0 , 14.976153085710537 , 70.68573167129858 , 0.7469908047271185
1 , 0 , 0 , 0 , 1 , 1 , 12.289717241253204 , 78.17611455818427 , 0.6115453974790208
1 , 0 , 0 , 1 , 0 , 0 , 15.00164109563909 , 78.15997906102449 , 0.6112974453597141
1 , 0 , 0 , 1 , 0 , 1 , 12.314258986707024 , 86.40923418984424 , 0.5004470300735335
1 , 0 , 0 , 1 , 1 , 0 , 18.28974715660508 , 70.69238792467702 , 0.7466792884118767
1 , 0 , 0 , 1 , 1 , 1 , 15.002250405669063 , 78.17290148386489 , 0.611322629091011
1 , 0 , 1 , 0 , 0 , 0 , 10.058461505888353 , 78.16076014366801 , 0.6117428308142783
1 , 0 , 1 , 0 , 0 , 1 , 8.261462291299912 , 86.41523610462855 , 0.5008115208602434
1 , 0 , 1 , 0 , 1 , 0 , 12.257817134437973 , 70.67674390466094 , 0.7472637036267413
1 , 0 , 1 , 0 , 1 , 1 , 10.058871564983702 , 78.18172322135855 , 0.6117682075442815
1 , 0 , 1 , 1 , 0 , 0 , 12.278529396449533 , 78.16593318931307 , 0.6115202680692564
1 , 0 , 1 , 1 , 0 , 1 , 10.078951425764355 , 86.41886340803684 , 0.5006293668169225
1 , 0 , 1 , 1 , 1 , 0 , 14.969900751141129 , 70.6888177442091 , 0.7469496611911615
1 , 0 , 1 , 1 , 1 , 1 , 12.279027976964349 , 78.1814376797059 , 0.6115454935611113
1 , 1 , 0 , 0 , 0 , 0 , 10.049101808774571 , 70.72960571850105 , 0.5006297379674501
1 , 1 , 0 , 0 , 0 , 1 , 8.25541309697641 , 78.18819965681455 , 0.4098303692228921
1 , 1 , 0 , 0 , 1 , 0 , 12.244626264653055 , 63.980643800699546 , 0.6115207736060788
1 , 1 , 0 , 0 , 1 , 1 , 10.049102121012417 , 70.73500861532186 , 0.5006298197971873
1 , 1 , 0 , 1 , 0 , 0 , 12.269665966428507 , 70.72557843608432 , 0.5004474516992775
1 , 1 , 0 , 1 , 0 , 1 , 10.073235700673397 , 78.18530717465907 , 0.4096812520749832
1 , 1 , 0 , 1 , 1 , 0 , 14.957047620840337 , 63.97696259721533 , 0.6112980160211607
1 , 1 , 0 , 1 , 1 , 1 , 12.269666130726302 , 70.72920687205779 , 0.5004475066246002
1 , 1 , 1 , 0 , 0 , 0 , 8.224977054974579 , 70.7328411175564 , 0.5008120102228857
1 , 1 , 1 , 0 , 0 , 1 , 6.756871015398038 , 78.19376266218028 , 0.40997951539170807
1 , 1 , 1 , 0 , 1 , 0 , 10.021978592850703 , 63.98110451926332 , 0.6117434960091052
1 , 1 , 1 , 0 , 1 , 1 , 8.224977408307277 , 70.74008976497184 , 0.5008121197459452
1 , 1 , 1 , 1 , 0 , 0 , 10.042465896593315 , 70.73188416474002 , 0.5006297749900726
1 , 1 , 1 , 1 , 0 , 1 , 8.244723321484964 , 78.19351831219558 , 0.40983043280281684
1 , 1 , 1 , 1 , 1 , 0 , 12.242043498019173 , 63.98104888985024 , 0.6115208305403027
1 , 1 , 1 , 1 , 1 , 1 , 10.042466084580488 , 70.73683632864719 , 0.5006298495867066
